Sample	OTU1	OTU2	OTU3	OTU4	OTU5	OTU6	OTU7	OTU8	OTU9	OTU10	OTU11	OTU12	OTU13	OTU14	OTU15	OTU16	OTU17	OTU19	OTU20
TIC2017_018	58.64329777	0.016148654	1.290815722	10.70655743	0.017225231	0.088279307	0.828964225	0.380031651	0.006459461	0	0.665324534	1.167009377	3.970415666	0.004306308	3.18020821	0.162563114	0	0.873103879	1.896928526
TIC2017_019	50.09486983	0.019783283	5.108583247	15.52178409	0.032372645	0.145676903	0.870464458	0.786835124	0.005395441	0	0.471201834	5.31630772	4.454835664	0.00089924	1.273324041	0	0.00179848	0.026077964	2.907243379
TIC2017_020	44.43069987	0.01740979	12.5826965	14.35391354	0.032070665	0.260230542	1.056499349	0.629501347	0.005497828	0	0.595598072	2.092839995	4.128869097	0	1.602616966	0.000916305	0.001832609	0.278556637	2.675609801
TIC2017_022	38.91817669	0.018390015	4.902778118	19.93109874	0.008582007	0.274624231	1.863521565	0.730696614	0.008582007	0	0.727018611	3.691489101	6.9048378	0.001226001	1.60728735	0.002452002	0.001226001	0.628938528	4.435671726
TIC2017_025	34.43518796	0.749618104	0	2.620513709	0.436227342	0.100788989	0.05354415	0.058268634	0.06141829	0	5.472527126	0.006299312	0.012598624	0.623631868	8.209578104	0.004724484	0	0.05354415	0.006299312
TIC2021_004	35.9713798	0.107144154	0.15254422	2.96553227	5.068463299	0.027240039	2.713107907	0.20157629	0.010896016	0	0.023608034	0.03450405	0	0.016344024	0.03450405	0.009080013	0.003632005	0	0.001816003
TIC2021_034	32.32381317	0.017038315	7.171000788	11.14518774	0.070283049	1.654846336	4.591825868	0.06815326	0	0	0.019168104	6.321214832	1.567524972	0.002129789	0.004259579	0.038336209	0	17.76883266	1.262965093
TIC2022_019	22.73369525	0.012394338	25.01673236	13.61394115	0.096675838	1.0039414	6.873900002	5.10150963	0.002478868	0	0.002478868	6.112887633	4.03559654	0	0	0.012394338	0	0.002478868	2.95728911
TIC2022_059	29.05976513	0.014959982	2.30009724	12.57012492	0.673199192	1.178098586	5.40803351	11.665046	0	0	0.059839928	10.89834692	2.891016531	0	0	0.014959982	0.026179969	5.037773955	2.240257312
TIC2012_056	0.310685962	6.630692503	0.008175946	0.073583517	0.008175946	0.024527839	0.008175946	0.057231625	0.964761671	0.024527839	0.253454337	0	0.008175946	2.142097948	0.114463249	4.047093451	0.016351893	0.008175946	0
TIC2016_051	0.05899705	13.46396966	0	0	0.021070375	0.0674252	0.00842815	0.0337126	0.935524652	0	0.219131901	0	0	0.00842815	0.147492625	3.430257059	0.0168563	0	0
TIC2016_053	0.024518818	15.45094193	0	0.00408647	0.00408647	0.012259409	0.00408647	0.163458788	1.270892076	0	0.780515712	0	0.00408647	1.103346819	1.287237955	1.176903273	0.016345879	0	0
ACE2016_045	0.321691176	0.080422794	0.022977941	0.057444853	0.011488971	0.022977941	0.011488971	0.011488971	0.005744485	42.42876838	0.005744485	0.005744485	0.005744485	0.011488971	0	0.005744485	0	0.005744485	0.005744485
ACE2016_060	0.176842478	0.053052743	0.013263186	0.026526372	0.004421062	0.044210619	0.017684248	0.004421062	0	81.65259295	0.008842124	0.008842124	0	0	0.004421062	0	0	0	0
ACE2016_080	0.161796897	0.023793661	0.014276197	0.04282859	0.004758732	0.04282859	0.014276197	0	0	61.92538308	0.023793661	0.009517465	0.004758732	0.004758732	0	0.004758732	0	0	0.009517465
